years,2011,2012,2013,2014,2015,2016,au_num,
mod-237,0,1,0,0,0,0,3
mod-238,0,1,0,0,0,1,2
mod-239,0,1,0,2,0,0,8
mod-240,1,1,0,2,0,0,22
mod-241,0,1,1,0,0,4,12
mod-242,0,1,0,0,1,1,2
mod-243,0,2,7,0,0,0,14
mod-244,0,1,0,1,0,0,2
mod-245,0,1,1,0,0,1,3
mod-246,0,1,1,0,1,0,2
mod-247,0,1,0,1,0,0,2
mod-248,1,1,0,0,0,0,10
mod-249,0,3,0,0,0,1,18
mod-250,0,1,2,0,0,0,2
mod-251,1,1,0,0,1,0,14
mod-252,1,3,0,0,0,1,8
mod-253,0,1,1,0,1,0,2
mod-254,0,1,0,0,1,0,2
mod-255,0,1,0,0,0,0,4
mod-256,0,1,2,2,0,0,9
mod-257,0,1,0,0,0,0,4
mod-258,0,1,0,0,0,1,3
mod-259,0,1,0,1,0,0,2
mod-260,0,1,0,0,1,0,2
mod-261,0,2,0,0,0,0,2
mod-262,1,2,0,0,0,0,9
mod-263,0,2,0,0,0,1,2
mod-264,0,1,0,2,0,0,3
mod-265,0,1,0,0,0,0,7
mod-266,0,3,0,2,3,0,5
mod-267,0,1,0,2,0,0,13
mod-268,0,1,2,0,0,0,2
mod-269,0,3,1,0,3,3,4
mod-270,0,3,1,0,0,0,20
mod-271,0,2,0,1,1,4,12
mod-272,0,1,0,0,1,0,2
mod-273,0,1,0,1,0,0,2
mod-274,0,1,0,1,0,0,2
mod-275,0,1,1,0,0,0,2
mod-276,0,2,1,0,0,0,5
mod-277,0,1,0,0,0,0,3
mod-278,1,1,1,0,0,0,20
mod-279,0,1,0,0,1,0,2
mod-280,0,2,0,0,0,1,4
mod-281,0,2,1,0,0,0,2
mod-282,0,1,1,0,0,1,3
mod-283,0,1,0,1,0,0,4
mod-284,1,6,5,1,4,2,36
mod-285,0,1,1,1,1,1,3
mod-286,0,2,3,0,1,0,3
mod-287,0,1,2,0,0,0,2
mod-288,0,1,1,0,3,4,8
mod-289,0,1,0,0,0,1,2
mod-290,0,1,0,0,1,0,2
mod-291,0,1,0,0,2,0,14
mod-292,0,3,0,1,3,0,15
mod-293,0,1,0,0,1,2,15
mod-294,0,1,3,5,2,5,9
mod-295,0,1,0,1,0,0,2
mod-296,0,1,0,1,0,0,2
mod-297,0,0,1,0,1,0,3
mod-298,0,0,1,0,0,0,6
mod-299,0,0,1,0,0,0,22
mod-300,0,0,1,0,0,1,4
mod-301,2,2,6,1,1,2,18
mod-302,0,0,1,0,1,0,19
mod-303,0,0,1,0,0,0,3
mod-304,0,0,1,0,1,0,3
mod-305,0,0,1,0,0,0,2
mod-306,0,0,1,0,0,0,6
mod-307,0,0,7,0,0,0,5
mod-308,0,0,1,0,0,2,11
mod-309,17,15,19,15,15,8,256
mod-310,0,0,1,0,0,0,6
mod-311,0,0,1,0,0,0,7
mod-312,0,0,1,0,1,0,2
mod-313,0,0,1,0,0,0,2
mod-314,0,0,1,0,0,0,7
mod-315,0,0,2,0,0,0,4
mod-316,0,0,1,0,0,1,4
mod-317,0,0,1,1,0,0,3
mod-318,0,0,2,1,0,0,14
mod-319,0,0,1,0,1,0,2
mod-320,0,0,1,0,0,0,12
mod-321,0,0,1,0,0,0,5
mod-322,0,0,1,0,1,0,2
mod-323,0,0,1,0,1,1,5
mod-324,0,0,1,0,0,1,2
mod-325,0,0,2,0,0,0,12
mod-326,0,0,1,0,0,0,4
mod-327,0,0,1,0,0,0,8
mod-328,0,0,1,0,0,1,3
mod-329,0,0,1,0,1,0,2
mod-330,0,0,1,0,0,1,2
mod-331,0,0,2,0,0,0,2
mod-332,0,0,2,1,0,0,9
mod-333,0,0,1,0,0,0,4
mod-334,0,0,1,0,0,0,2
mod-335,0,0,2,0,0,0,3
mod-336,0,1,1,0,0,0,10
mod-337,0,0,1,1,0,0,2
mod-338,0,0,1,0,0,1,20
mod-339,0,0,1,1,0,0,2
mod-340,0,0,1,0,0,1,2
mod-341,0,0,1,0,1,1,3
mod-342,0,0,1,0,0,0,8
mod-343,0,0,2,0,0,0,2
mod-344,2,0,2,0,1,2,18
mod-345,0,0,1,1,0,0,2
mod-346,0,0,1,0,0,1,3
mod-347,0,0,1,0,0,1,2
mod-348,0,0,1,1,4,0,7
mod-349,0,0,1,1,0,0,2
mod-350,0,0,1,0,0,0,3
mod-351,0,0,1,0,0,0,2
mod-352,0,0,1,0,0,0,4
mod-353,0,1,2,1,0,3,7
mod-354,0,0,3,1,0,0,2
mod-355,0,0,1,1,0,2,2
mod-356,0,0,1,1,0,0,2
mod-357,0,0,1,3,3,0,3
mod-358,0,0,0,1,1,0,5
mod-359,0,0,0,1,1,3,6
mod-360,0,0,0,1,0,0,4
mod-361,0,0,0,3,0,0,2
mod-362,0,0,0,2,0,2,2
mod-363,0,0,0,1,0,0,2
mod-364,0,0,0,3,0,0,4
mod-365,0,0,0,2,1,0,2
mod-366,0,0,0,1,0,0,4
