#Id,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,clustering,triangles,eigencentrality,pageranks,Authority,Hub
16526,5,50,8,0.24851,0.255377,41.277425,1,54,0.8,8,0.00034,0.000021,0.000005,0.000005
13916,10,60,8,0.250534,0.259006,0,1,259,1,45,0.000815,0.000019,0.000023,0.000023
13917,10,60,8,0.250534,0.259006,0,1,259,1,45,0.000815,0.000019,0.000023,0.000023
13918,10,60,8,0.250534,0.259006,0,1,259,1,45,0.000815,0.000019,0.000023,0.000023
13919,10,60,8,0.250534,0.259006,0,1,259,1,45,0.000815,0.000019,0.000023,0.000023
13920,10,60,8,0.250534,0.259006,0,1,259,1,45,0.000815,0.000019,0.000023,0.000023
13921,10,60,8,0.250534,0.259006,0,1,259,1,45,0.000815,0.000019,0.000023,0.000023
13922,10,70,8,0.250534,0.259006,0,1,259,1,45,0.000815,0.000019,0.000023,0.000023
13923,10,60,8,0.250534,0.259006,0,1,259,1,45,0.000815,0.000019,0.000023,0.000023
14354,3,33,8,0.248032,0.254881,0,1,54,1,3,0.000236,0.000014,0.000005,0.000005
16527,4,39,8,0.247755,0.254588,0,1,54,1,6,0.000264,0.000018,0.000004,0.000004
15229,26,217,8,0.271575,0.28199,201620.186658,1,6,0.270769,88,0.002417,0.000057,0.000049,0.000049
16110,2,20,8,0.247394,0.255076,0,1,20,1,1,0.000254,0.000008,0.000014,0.000014
16905,2,14,8,0.261974,0.269659,0,1,54,1,1,0.000357,0.000012,0.000017,0.000017
16906,2,14,8,0.261974,0.269659,0,1,54,1,1,0.000357,0.000012,0.000017,0.000017
18455,12,192,9,0.224953,0.230778,74.778053,1,35,0.712121,47,0.000683,0.000032,0.000001,0.000001
18456,9,70,9,0.224657,0.230407,1.392857,1,35,0.861111,31,0.00052,0.000024,0.000001,0.000001
18457,4,28,9,0.224648,0.230329,0,1,35,1,6,0.000238,0.000013,0.000001,0.000001
19438,3,18,1,1,1,0,163,203,1,3,0.000142,0.000028,0,0
19439,3,18,1,1,1,0,163,203,1,3,0.000142,0.000028,0,0
19440,3,18,1,1,1,0,163,203,1,3,0.000142,0.000028,0,0
19441,3,18,1,1,1,0,163,203,1,3,0.000142,0.000028,0,0
23748,4,31,8,0.277521,0.288646,14.771117,1,19,0.666667,4,0.001957,0.00001,0.000138,0.000138
22072,7,50,8,0.277371,0.288423,29.792238,1,19,0.52381,11,0.001812,0.000016,0.000118,0.000118
23749,3,21,8,0.277136,0.288051,0,1,19,1,3,0.001214,0.000009,0.000084,0.000084
13160,2,26,9,0.244798,0.250595,0,1,51,1,1,0.000169,0.000009,0.000001,0.000001
19671,11,107,8,0.255908,0.263534,136.110071,1,51,0.6,33,0.000835,0.000034,0.000005,0.000005
19579,15,172,8,0.255941,0.26364,276.708104,1,51,0.380952,40,0.001035,0.000046,0.000005,0.000005
20141,8,81,8,0.255902,0.26349,3917.241506,1,51,0.678571,19,0.000684,0.000025,0.000005,0.000005
19669,3,18,8,0.255652,0.262977,0,1,51,1,3,0.00037,0.000012,0.000003,0.000003
14757,17,148,1,1,1,27.333333,164,204,0.573529,78,0.000868,0.000045,0,0
14758,3,30,2,0.548387,0.588235,0,164,204,1,3,0.000162,0.000011,0,0
14759,5,34,2,0.586207,0.647059,0,164,204,1,10,0.000254,0.000018,0,0
14760,17,148,1,1,1,27.333333,164,204,0.573529,78,0.000868,0.000045,0,0
13203,28,320,8,0.258465,0.26703,39461.644721,1,51,0.193122,73,0.001868,0.000081,0.000007,0.000007
20375,10,112,8,0.255677,0.26311,16657.097092,1,51,0.688889,31,0.000729,0.00003,0.000003,0.000003
16076,27,249,8,0.299576,0.31598,4527.970583,1,20,0.364672,128,0.011485,0.000035,0.0007,0.0007
16077,12,103,8,0.295922,0.310494,49.018519,1,20,0.772727,51,0.006921,0.000015,0.00044,0.00044
23757,10,102,8,0.29591,0.310449,920.416401,1,20,0.755556,34,0.006137,0.000015,0.000403,0.000403
23758,11,113,8,0.295925,0.310489,2.017396,1,20,0.890909,49,0.00634,0.000015,0.000415,0.000415
17825,35,245,8,0.277551,0.288815,0,1,30,1,595,0.006511,0.000019,0.00024,0.00024
